naam,id,eigenaar.bsn,ras,Geboortedatum,Sterftedatum
Bas,28782,712197436,standaard,9-5-2016,
Sabo,88346,958711574,Hondenrassen,14-7-2014,22-11-2021
Ajax,,861962850,Cão da Serra da Estrela,10-7-2020,
Eiger,20410,477032369,ruwhaar,11-3-2006,25-2-2021
Tache,45556,858630059,Dwergpinscher,28-9-2007,
Varel,26017,110440250,Amerikaanse cockerspaniël,14-4-2010,
Fausta,78013,529765676,Canadese eskimohond,27-8-2016,
Casso,15975,950520354,Shetland sheepdog,6-2-2017,
Heske,48270,48168105,Ierse wolfshond,1-5-2013,
Danny,11795,986530190,Riesenschnauzer,20-4-2022,
Darko,77152,32418668,Sabueso español,29-9-2020,
Dagwood,39052,219201183,Landseer ECT,3-10-2006,11-10-2009
Pandra,96898,16863999,Australische veedrijvershond,1-8-2022,
Daja,35091,122800576,do-khyi,21-1-2018,
Bikki,42821,89412795,Noorse elandhond,19-4-2020,
Elfy,55756,466602728,Hollandse herder,13-11-2013,
Daniel,33366,362418238,Schweizer Laufhund,30-9-2021,
Erika,64500,614269,Beagle,12-4-2018,
Gissa,99168,906864689,Duitse staande hond (draadhaar),2-2-2015,
Idda,69165,859176605,Ca de bou,15-11-2014,
Galileo,76655,275018647,Dunker,10-11-2020,
Hakon,96261,121684350,Anatolische herder,4-7-2019,
Akim,70539,729653298,Chesapeake Bayretriever,15-2-2011,
Badda,76224,881390185,Suomenlapinkoira,23-10-2005,
Finley,55024,640227545,Berner Laufhund,19-9-2021,
Darex,,446907753,wolfskees,4-12-2010,4-8-2019
Tahiti,61151,51380705,Kingcharlesspaniël,17-11-2009,
Beuty,35155,338840795,Hrvatski ov?ar,27-1-2009,
Dummy,,150093238,Braque Dupuy,2-11-2005,9-3-2017
Getty,70511,495854396,Braque de l'Ariège,26-10-2012,
Eluna,62163,337369859,Saint Miguel cattle dog,28-4-2016,
Xandor,29524,20845212,Schapendoes,20-8-2017,
Here,,541929938,dashond,6-7-2013,
Mario,88315,948679967,Samojeed,2-9-2022,
Aribo,15047,722668971,Barbet,7-12-2006,7-5-2019
Quentchen,52629,779396364,Schotse terriër,27-4-2019,
Sanka,,703407673,Griffon nivernais,23-8-2011,
Figor,79024,714638985,Drever,30-1-2014,
Amable,98654,39894137,Chihuahua,30-11-2007,
Ellis,18614,564514561,Spinone italiano,9-4-2015,
Xane,60726,454644644,Skyeterriër,9-8-2017,
Bickin,29782,171064653,Wetterhoun,8-8-2022,
Acki,53428,908972830,Karelische berenhond,25-8-2017,
Yalla,41936,957955881,Riesenschnauzer,26-4-2007,
Babykins,65691,258396854,Grote Zwitserse sennenhond,4-6-2017,
Laksjmana,79128,848980761,Japanse spaniël,10-5-2005,
Raudi,84872,48362918,Kroatische herder,28-7-2006,9-6-2016
Blenda,39466,631705740,Phalène,13-10-2015,
Batsie,11581,797710061,Dwergschnauzer,13-6-2022,
Tarisa,21021,87999389,Stabij,27-8-2020,
Walpurga,23705,783449446,Ciobanesc romanesc mioritic,31-7-2009,
Lana,77599,784156384,Portugese herder,8-12-2017,
Nanou,54123,248049859,Duitse staande hond (stekelhaar),4-8-2020,
Olli,47830,993816423,Pyrenese herdershond,21-5-2007,23-8-2011
Pandora,82870,233571565,Phalène,24-8-2017,
Gazelle,79434,192308993,Galgo español,18-7-2009,27-6-2012
Faith,98214,124159618,Kromfohrländer,3-10-2016,
Jamaica,34370,133981253,Middenslagschnauzer,21-6-2021,
Hauke,32820,571213376,Beagle-harrier,2-5-2022,
Anouk,52755,947123313,Poitevin,4-10-2012,28-1-2016
Warthog,,636117662,Shih tzu,19-2-2010,7-3-2010
Adelina,57692,10418684,Galgo español,7-6-2022,
Jaen,37840,502257738,Franse buldog,27-11-2006,
Rapunzel,55015,280122275,Braque du Bourbonnais,12-12-2019,
Enzie,55197,738959868,Ierse terriër,26-3-2006,
Yasco,21558,472149982,Tibetaanse spaniël,12-9-2019,
Olinda,28870,47986621,Mopshond,1-1-2018,
Valesco,,65133432,Mastino Napoletano,28-2-2014,
Cheyenna,85661,747989199,dogo argentino,20-8-2015,
Dani,41249,139268285,Šarplaninac,26-6-2006,7-2-2022
Pamel,11506,563102196,Karakachan,17-4-2007,7-3-2011
Apasja,68980,133981502,Lagotto romagnolo,17-8-2005,7-11-2011
Face,68436,988555207,Schotse terriër,5-10-2006,
Zango,70675,578962184,Azawakh,6-12-2018,
Felice,74922,450434539,Shar-pei,15-3-2009,15-10-2019
Pachyderm,16685,740416236,Kromfohrländer,3-7-2006,6-10-2014
Olle,,225971860,do-khyi,26-4-2019,
Amon,96434,12557638,standaard,27-12-2007,
Carpinus,74621,534084412,Welsh corgi Cardigan,22-9-2007,
Yane,44476,786415691,Beagle-harrier,5-2-2005,20-5-2008
Charmeur,40011,45065044,Grand bleu de Gascogne,17-5-2013,
Elma,38028,824527860,Duitse dog,24-6-2017,
Akim,33113,907513438,Griffon nivernais,20-4-2006,14-9-2016
Ciro,57447,934958427,Komondor,13-10-2017,
Doedel,70798,68047812,Griffon bleu de Gascogne,13-3-2007,10-8-2022
Patrick,33309,776486263,Portugese herder,15-2-2007,5-8-2009
Ukita,40799,498390342,Amerikaanse akita,25-4-2009,
Alca,41436,214330898,Cavalier-kingcharlesspaniël,22-11-2015,
Chosja,26137,764031314,Samojeed,29-7-2010,
Banshee,76822,337196230,Bergamasco,29-11-2006,
Yaren,31453,803548138,Kaukasische owcharka,13-4-2007,
Amazone,94834,62903998,Schwyzer niederlaufhund,29-12-2010,
Olnop,88470,219349460,Ciob?nesc românesc carpatin,30-5-2005,
Wanda,94736,104293706,Engelse buldog,5-11-2016,
Beethoven,48256,483175213,Australian cattle dog,20-10-2018,
Hedda,65493,40214023,Australische veedrijvershond,28-3-2018,
Heller,15548,960869888,Japanse terriër,28-1-2005,27-11-2009
Pamina,70344,966356962,Hamiltonstövare,28-5-2007,
Mantho,57905,496068532,Ierse wolfshond,30-7-2018,
Kalunga,25588,50636674,Slovenský ?uva?,8-7-2006,
Rana,98012,712133963,Tibetaanse spaniël,7-9-2009,2-5-2021
Sari,77820,718058719,Foxhound,25-4-2006,13-12-2013
Gijntje,81559,631633601,Polski owczarek nizinny,10-1-2006,
Talisman,15535,17297916,koningspoedel,25-3-2010,
Dedue,97362,313590138,Cavalier-kingcharlesspaniël,2-2-2016,
Hess,48482,805718527,Schapendoes,3-6-2019,
Carlson,53216,42911850,Zweedse lappenhond,21-5-2016,
Rasmus,,410527282,Bedlingtonterriër,13-7-2021,
Umsa,29298,635958168,Ciobanesc Romanesc de Bucovina,13-5-2005,8-8-2009
Heerco,,393162059,Tiroler brak,27-4-2018,
Choice,57156,99276732,Finse spits,30-4-2014,
Maffay,56210,635767636,Dwergschnauzer,2-7-2019,
Fjedor,79276,790195975,Foxhound,15-3-2020,
Fidibus,66151,170642409,Crnogorski planinski gonic,27-3-2015,
Rapi,49610,225013873,Petit bleu de Gascogne,10-10-2006,
Arapaho,,142926103,Centraal-Aziatische owcharka,12-9-2018,
Fionni,31371,924967110,Hollandse herder,14-4-2006,29-7-2009
Bertho,25547,471024557,Dalmatiër,20-3-2013,
Darka,14524,260383326,Landseer ECT,10-7-2013,16-4-2015
Agnes,68256,184819581,Portugese pointer,18-5-2016,
Anschy,36672,229882985,Braque Dupuy,20-10-2012,8-6-2015
Quendel,56634,703310665,maremma,13-9-2022,
Fessi,87258,207248011,Grand bleu de Gascogne,24-8-2018,
Laska,65697,798999937,Shikoku,30-1-2010,
Fang,42989,298826562,Lagotto romagnolo,16-6-2009,
Gerra,68785,918237099,Duitse staande hond (langhaar),22-12-2018,
Gayal,22356,138620830,Bordeauxdog,11-5-2013,
Ferrari,50302,412690676,Cão de Fila de São Miguel,9-5-2006,10-8-2006
Vant,70610,508570013,Bearded collie,9-3-2008,5-8-2019
Taro,78829,152420666,Finse brak,8-2-2020,
Olax,30467,791251378,sheltie,4-10-2011,
Paola,70881,299180347,Australian stumpy tail cattle dog,12-5-2015,
Salke,31218,210083578,Kintamanihond,7-2-2014,
Fire,54926,969970675,Kishu,23-11-2009,13-4-2011
Pascha,12081,297698461,Bedlingtonterriër,11-6-2008,14-2-2014
Biara,17915,356745600,Bolognezer,9-1-2013,10-4-2015
Babydoll,18076,155743430,Old English Sheepdog,24-1-2019,
Fang,39234,748231018,Riesenschnauzer,23-9-2015,
Edwin,64891,898755190,Kai,21-7-2007,
Basko,,728447824,Shih tzu,13-6-2014,
Akuma,65212,888834330,Griffon fauve de Bretagne,21-10-2011,
Alyeska,55134,122605755,Basenji,24-8-2014,
Benita,39319,522729137,Grand griffon vendéen,28-4-2022,
Tarsam,37456,205515976,Alpenländische dachsbracke,4-8-2010,
Hassas,40590,982476942,Kaukasische owcharka,18-1-2009,
Fantom,73115,235585191,Tibetaanse spaniël,3-7-2015,
Gienger,23482,85372559,Griffon fauve de Bretagne,17-1-2019,
Alli,,413090061,Kraški ov?ar,18-10-2011,
Fahra,13187,688229694,Japanse terriër,4-2-2012,
Weida,80209,390938038,Duitse herder,13-9-2012,
Unto,,242827305,Glen,9-3-2022,
Effa,54289,525662,Ariégeois,22-12-2010,7-4-2022
Jakko,51577,498284864,Épagneul picard,1-12-2014,
Zamboron,85012,536364734,Keeshond,5-8-2014,
Queni,28025,656101076,Alentejo mastiff,15-11-2010,18-3-2019
Safir,16380,68117140,Anatolische herder,7-12-2007,3-9-2019
Dyke,65255,156891979,Picardische herdershond,26-1-2022,
Eloy,65678,136555706,Griffon nivernais,25-1-2007,13-3-2013
Caddie,79550,425974947,Grand griffon vendéen,20-3-2012,
Amethyst,71623,687188052,Yakut laika,8-9-2012,30-5-2017
Idda,14484,96696904,Havanezer,21-3-2011,16-12-2020
Adorable,,233593664,Smalandstövare,8-1-2022,
Odet,,612315538,Leeuwhondje,20-10-2008,
Fichte,50223,770505156,Dandie Dinmont-terriër,1-1-2013,10-6-2018
Maedi,58950,346002886,Cão de Gado Transmontana,6-8-2018,
Eloy,12665,615135018,middenslagpoedel,8-11-2008,
Zabno,98769,786378888,Deens-Zweedse boerderijhond,6-12-2018,
Giggi,,318728242,Landseer ECT,28-1-2014,
Bartholome,,99209160,Australische herder,28-3-2007,1-6-2015
Ohle,42470,347015219,Bichon frisé,4-1-2009,
Canjer,20807,927689650,Braziliaanse terriër,12-12-2006,17-10-2009
Bina,37539,248327252,Mechelse herder,16-2-2011,
Dolfy,56792,227107822,vlinderhondje,30-10-2014,
Dustin,87254,832653858,Schweizer Laufhund,22-10-2009,
Eicha,18525,901011150,Russische toyterriër,3-12-2014,
Male,88961,506188401,Estrela berghond,8-7-2022,
Xanri,56370,558560209,Portugese waterhond,26-4-2009,
Dempsey,,790475650,?eský fousek,27-5-2016,
Alesi,71171,191187379,Skyeterriër,29-1-2008,
Acda,82935,591092785,nachtvlinderhondje,10-6-2014,
Carta,43572,986559453,Deens-Zweedse boerderijhond,9-9-2022,
Angera,72581,370738846,Welshe springerspaniël,14-1-2010,15-12-2018
Anjie,51323,88949886,Kraški ov?ar,15-11-2009,
Harrie,64839,698358314,Bergamasco,26-6-2006,
Djenty,89358,721310321,Koreaanse jindohond,19-12-2015,
Bannie,19107,438556860,Bichon frisé,12-8-2019,
Hacke,62968,747436794,Thaise pronkrug,30-1-2005,
Bassi,51016,568414366,Hongaarse windhond,29-8-2010,20-9-2020
Cilveli,42528,204386226,Bichon frisé,21-6-2022,
Belladona,56911,755227694,IJslandse hond,31-10-2015,
Kantor,90356,369043662,Groenlandse hond,7-2-2008,22-1-2015
Dorina,33316,40686188,Phalène,6-7-2014,
Xanthos,44984,462207407,Wetterhoun,4-1-2012,
Waila,58185,587637596,Épagneul bleu de Picardie,23-9-2021,
Chili,49409,932773370,Ciobanesc Romanesc de Bucovina,16-8-2014,
Faika,22127,513069070,Bearded collie,19-4-2008,24-6-2010
Kandell,53859,367442309,Noorse lundehond,28-4-2010,
Amie,87779,167557154,Berner Laufhund,25-7-2011,
Aksel,61423,574759293,Ciob?nesc românesc carpatin,14-9-2014,
Caecar,80892,204562338,Griffon bruxellois,18-8-2021,
Cecil,22969,355511083,Petit bleu de Gascogne,21-6-2013,
Olav,83889,998457516,Berner niederlaufhund,17-2-2020,
Ibse,36301,361640821,heidewachtel,12-9-2019,
Catalina,40715,61755424,pronkrug,26-7-2008,
Sabo,47080,878384029,Steirische rauhhaarbracke,8-8-2015,
Tascha,42905,685038221,Lakelandterriër,19-11-2011,
Black,62321,565651584,Perro de agua español,5-7-2018,
Geza,35856,10724709,Griffon bleu de Gascogne,16-11-2015,
Datsun,90610,996596732,Grand Gascon saintongeois,11-10-2010,9-7-2017
Icarus,72231,766340661,Grote münsterländer,29-2-2016,
Hami,90526,417882385,Dalmatiër,8-7-2009,
Hessa,,557891991,Gordon setter,2-7-2022,
Vanny,,12990115,ruwhaar,21-1-2011,
Fatim,48390,922646077,Gos d'Atura,21-11-2012,27-12-2016
Denar,94720,523673826,Barzoi,6-1-2015,
Blizzi,41100,959966353,Bouvier des Flandres,2-1-2006,28-4-2009
Xalmos,89584,428084230,Mudi,23-12-2016,
Cindi,75498,702755709,Chowchow,23-4-2022,
Doki,35950,746101569,Luzerner niederlaufhund,29-10-2019,
Janni,29226,737767285,Sint-bernard,27-1-2009,
Barb,36063,749900003,Azawakh,30-1-2011,
Hasi,87016,514786309,Imaalterriër,29-12-2016,
Ocean,,795293641,Irish soft-coated wheaten terrier,8-2-2017,
Amok,80789,496851809,Griffon Korthals,13-5-2012,
Hadelie,,883845052,Coton de Tuléar,11-2-2007,27-5-2017
Cilli,20417,489869804,Miniatuurbulterriër,28-6-2022,
Wendie,75669,771378348,Kaukasische owcharka,10-3-2014,
Tacko,40902,397754863,Petit bleu de Gascogne,20-8-2020,
Hessa,74981,612461117,Smous,15-8-2022,
Rascha,53453,323866761,Sussex-spaniël,21-9-2007,
Valcko,89832,625827661,Finse spits,7-9-2006,
Disney,78817,810356740,Karpatische herdershond,24-9-2008,31-10-2013
Marije,86968,999257687,kaninchen,20-6-2005,27-10-2020
Salina,48170,581738974,karstherder,6-2-2019,
Bezie,33387,138160399,Cairnterriër,7-12-2015,
Hessel,66773,674936048,Westfaalse dasbrak,18-6-2021,
Parma,55684,890602384,Mastino Napoletano,20-6-2014,
Oda,51718,937706061,Hygenhund,22-3-2019,
Hershey,14550,913760195,Foxterriër,15-2-2006,
Checkers,24394,331151686,Ierse terriër,14-10-2019,
Lasslo,77082,500935142,Bosanski ostrodlaki gonic barak,1-1-2009,29-6-2009
Tando,82457,99170528,Haldenstøvare,8-12-2005,
Zaramani,59577,759297198,kaninchen,26-7-2014,14-9-2016
Malko,80350,555139116,dashond,2-9-2016,
Beau,90970,913217864,karstherder,19-9-2007,
Lake,15744,107106656,Oostenrijkse gladharige brak,19-4-2011,25-1-2017
Zander,11332,656372072,Braque de l'Ariège,4-7-2010,8-3-2016
Bass,55625,679963844,klein,20-6-2006,24-10-2019
Eppo,92872,193687999,klein,4-3-2021,
Emir,99129,870414616,Tervuerense herder,6-9-2018,
Galan,74218,800318638,Srpski trobojni gonic,9-1-2019,
Barvaux,31278,532973963,Ciob?nesc românesc carpatin,1-8-2009,12-4-2017
Olf,91426,969256577,Épagneul français,29-11-2014,
Quenda,73319,711188373,Rottweiler,9-3-2006,3-8-2020
Baston,97534,46549936,Bouvier des Flandres,2-12-2018,
Anton,54408,177150282,Boheemse herder,11-5-2009,
Venda,,315052636,Basset hound,25-11-2010,30-9-2016
Bahar,59883,191156851,Ierse wolfshond,21-9-2019,
Dancing,87357,20469263,Polski owczarek nizinny,3-5-2008,
Edna,44590,857310768,Amerikaanse waterspaniël,26-5-2008,
Girka,,509466758,Australian Shepherd,10-5-2010,
Okka,80980,307382412,Deens-Zweedse boerderijhond,16-2-2018,
Chubster,79819,227535133,Berghond van de Maremmen en Abruzzen,18-7-2008,
Elektra,41500,775734238,Miniatuurbulterriër,20-3-2007,
Takira,36816,508748951,Brandlbracke,25-4-2009,
Lagundo,95086,442510378,Français blanc et orange,22-6-2022,
Rambas,81122,904922765,Cão de Fila de São Miguel,17-12-2018,
Elvis,67687,290358218,Groenendaeler,8-1-2012,
Mady,72183,604699773,Cão de Fila de São Miguel,1-11-2020,
Manella,72285,12432246,Harrier,27-4-2022,
Felix,,132866638,Hondenrassen,2-12-2021,
Wacker,82774,688223047,Poitevin,12-7-2015,
Balla,80738,231034672,Jura Laufhund,15-3-2014,13-7-2020
Laif,68728,377475853,Cão da Serra da Estrela,27-4-2020,
Dasi,11956,597599798,Harrier,23-3-2019,
Andrella,86004,820606923,Komondor,1-11-2021,
Early,82816,923810262,Kuvasz,10-11-2017,
Bernie,98672,7486789,Oost-Siberische laika,9-12-2012,
Donny,19267,293349769,Pekingees,21-12-2014,
Berolm,89390,529699886,Saarlooswolfhond,9-3-2021,
Edor,25889,412449067,Anglo-Français de petit vénerie,14-11-2018,
Daantje,,935304678,Ogar polski,16-12-2006,28-6-2010
Ciganka,74352,358437301,Pyrenese herdershond,11-11-2006,
Herodes,,661536701,Hygenhund,12-6-2020,
Hertika,13994,844662185,Australian cattle dog,17-7-2020,
Patch,76318,756692593,Shetland sheepdog,6-7-2013,
Qelvinn,78595,158631808,Engelse cockerspaniël,6-2-2020,
Georgie,21414,319232724,Basset fauve de Bretagne,22-4-2006,5-12-2013
Odry,74893,633309618,Mastín español,9-11-2014,
Iada,74460,103956578,Mudi,23-8-2016,
Taurus,41975,337195973,Chesapeake Bayretriever,3-7-2010,
Naim,40996,499586396,Kelpie,21-6-2007,24-6-2012
Harda,,120534,Beierse bergzweethond,9-4-2007,
Gertie,30636,648315587,Beagle,4-6-2015,
Olle,,312140204,dwerg,13-7-2007,
Wanika,75635,651793002,Gammel dansk hønsehund,4-9-2017,
Santya,39215,47823938,Faraohond,28-9-2010,9-8-2011
Eleiza,,355053093,Berner niederlaufhund,19-11-2008,26-4-2018
Xabina,90763,293362385,kwartelhond,15-2-2016,
Peggy,38130,588785428,Griffon fauve de Bretagne,19-6-2019,
Quelly,18194,925125428,Petit bleu de Gascogne,14-10-2018,
Cimo,51163,284738979,Duitse staande hond (draadhaar),21-7-2008,
Salty,49515,604734967,Hannoveraanse zweethond,1-11-2011,
Webster,91341,857185652,Australische veedrijvershond,1-6-2018,
Uncas,70515,847944517,Puli,11-1-2006,
Maex,80859,21509542,Cão de Gado Transmontana,17-5-2016,
Bamina,45120,841448887,Spinone italiano,29-9-2009,1-2-2017
Droll,93890,226154956,Broholmer,19-4-2021,
Laksjmana,75677,298569917,Schwyzer Laufhund,27-12-2009,17-5-2011
Eeiche,85401,538028476,Segugio maremmano,12-2-2010,8-1-2013
Fantas,75110,320105647,Japanse terriër,11-4-2016,
Berold,67897,68243303,Karelische berenhond,18-5-2022,
Varun,24589,736804134,Hovawart,30-9-2015,
Xavier,17416,271955235,Ciobanesc Romanesc de Bucovina,2-3-2012,
Barney,,188413625,Šarplaninac,2-1-2007,21-8-2022
Benekli,88531,712993101,Bedlingtonterriër,15-2-2022,
Durca,88243,104428405,Bichon frisé,29-4-2005,22-5-2009
Casia,37244,744494618,Welsh corgi Cardigan,8-6-2005,
Calvin,85653,556582202,korthaar,24-6-2010,
Alinda,98203,764383176,Mastino Napoletano,10-4-2011,
Quby,30458,206011581,Spaanse waterhond,14-4-2014,
Jahn,81111,217044190,Amerikaanse staffordshireterriër,24-1-2016,
Dolfo,97657,20441228,Galgo español,1-11-2007,
Vaula,48634,471054422,Polski owczarek nizinny,25-3-2007,4-4-2017
Ohio,24432,635269417,maremma,28-1-2014,
Amaro,91671,963096102,Bostonterriër,2-3-2006,
Baronne,68545,48038076,Ceskyterriër,24-1-2020,
Chack,17971,60830554,heidewachtel,18-8-2015,
Saphira,38447,908936084,Tornjak,21-5-2014,
Tatum,25294,568075092,heidewachtel,10-2-2022,
Mangona,82381,501031108,Peruaanse naakthond,11-7-2010,
Darno,22600,752542941,Australische terriër,17-10-2015,
Elena,41782,384603877,type Pyrénées,3-1-2008,
Tamy,15991,980800274,Västgötaspets,21-5-2007,6-2-2021
